Tue Jun 17 08:49:09 UTC 2025 Starting master on 4fdf0e11b739
core file size          (blocks, -c) 0
2025-06-17T08:49:20,796 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family proc of region 1595e783b53d99cd5eef43b6debb2682 
2025-06-17T08:49:20,806 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1595e783b53d99cd5eef43b6debb2682 columnFamilyName proc
2025-06-17T08:49:20,806 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:20,808 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] regionserver.HStore: Store=1595e783b53d99cd5eef43b6debb2682/proc,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2025-06-17T08:49:20,808 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family rs of region 1595e783b53d99cd5eef43b6debb2682 
2025-06-17T08:49:20,812 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1595e783b53d99cd5eef43b6debb2682 columnFamilyName rs
2025-06-17T08:49:20,813 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:20,814 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] regionserver.HStore: Store=1595e783b53d99cd5eef43b6debb2682/rs,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2025-06-17T08:49:20,867 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] regionserver.HRegion: Opened 1595e783b53d99cd5eef43b6debb2682; next sequenceid=2; SteppingSplitPolicysuper{IncreasingToUpperBoundRegionSplitPolicy{initialSize=268435456, ConstantSizeRegionSplitPolicy{desiredMaxFileSize=10783004640, jitterRate=0.004245564341545105}}}, FlushLargeStoresPolicy{flushSizeLowerBound=44739242}
2025-06-17T08:49:20,870 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] region.MasterRegionFlusherAndCompactor: Constructor flushSize=134217728, flushPerChanges=1000000, flushIntervalMs=900000, compactMin=4
2025-06-17T08:49:20,959 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: No meta location available on zookeeper, skip migrating...
2025-06-17T08:49:20,974 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] region.RegionProcedureStore: Starting the Region Procedure Store, number threads=16
2025-06-17T08:49:20,974 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.ProcedureExecutor: Starting 16 core workers (bigger of cpus/4 or 16) with max (burst) worker count=160
2025-06-17T08:49:20,976 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] region.RegionProcedureStore: Starting Region Procedure Store lease recovery...
2025-06-17T08:49:20,980 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.ProcedureExecutor: Recovered RegionProcedureStore lease in 4 msec
2025-06-17T08:49:20,988 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.ProcedureExecutor: Loaded RegionProcedureStore in 6 msec
2025-06-17T08:49:20,988 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.RemoteProcedureDispatcher: Instantiated, coreThreads=128 (allowCoreThreadTimeOut=true), queueMaxSize=32, operationDelay=150
2025-06-17T08:49:21,033 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.RegionServerTracker: Upgrading RegionServerTracker to active master mode; 0 have existingServerCrashProcedures, 0 possibly 'live' servers, and 0 'splitting'.
2025-06-17T08:49:21,055 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] normalizer.SimpleRegionNormalizer: Updated configuration for key 'hbase.normalizer.merge.min_region_size.mb' from 0 to 1
2025-06-17T08:49:21,062 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] normalizer.RegionNormalizerWorker: Normalizer rate limit set to unlimited
2025-06-17T08:49:21,119 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: Active/primary master=4fdf0e11b739,16000,1750150153003, sessionid=0x100003774c50001, setting cluster-up flag (Was=false)
2025-06-17T08:49:21,191 WARN  [master/4fdf0e11b739:16000:becomeActiveMaster] snapshot.SnapshotManager: Couldn't delete working snapshot directory: hdfs://atlas-hadoop:9000/hbase/.hbase-snapshot/.tmp
2025-06-17T08:49:21,368 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Looking for atlas-application.properties in classpath
2025-06-17T08:49:21,375 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Loading atlas-application.properties from file:/opt/hbase-2.5.0/conf/atlas-application.properties
2025-06-17T08:49:21,408 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Using graphdb backend 'janus'
2025-06-17T08:49:21,409 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Using storage backend 'hbase2'
2025-06-17T08:49:21,409 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Using index backend 'solr'
2025-06-17T08:49:21,409 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Atlas is running in MODE: PROD.
2025-06-17T08:49:21,410 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Setting atlas.graph.index.search.solr.wait-searcher = false
2025-06-17T08:49:21,411 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Setting index.search.map-name property 'false'
2025-06-17T08:49:21,411 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Setting atlas.graph.index.search.max-result-set-size = 500000
2025-06-17T08:49:21,412 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Property (set to default) atlas.graph.cache.db-cache = true
2025-06-17T08:49:21,412 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Property (set to default) atlas.graph.cache.db-cache-clean-wait = 20
2025-06-17T08:49:21,412 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Property (set to default) atlas.graph.cache.db-cache-size = 0.5
2025-06-17T08:49:21,412 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Property (set to default) atlas.graph.cache.tx-cache-size = 15000
2025-06-17T08:49:21,413 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] atlas.ApplicationProperties: Property (set to default) atlas.graph.cache.tx-dirty-size = 120
2025-06-17T08:49:21,436 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] kafka.KafkaNotification: ==> KafkaNotification()
2025-06-17T08:49:21,440 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] kafka.KafkaNotification: <== KafkaNotification()
2025-06-17T08:49:21,440 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] kafka.NotificationProvider: Notification spooling is not enabled
2025-06-17T08:49:21,440 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hook.AtlasHook: atlas.hook.entity.ignore.pattern=[]
2025-06-17T08:49:21,470 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hook.AtlasHook: Created Atlas Hook
2025-06-17T08:49:21,474 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] coprocessor.CoprocessorHost: System coprocessor org.apache.atlas.hbase.hook.HBaseAtlasCoprocessor loaded, priority=536870911.
2025-06-17T08:49:21,605 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] balancer.BaseLoadBalancer: slop=0.2
2025-06-17T08:49:21,608 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] balancer.StochasticLoadBalancer: Loaded config; maxSteps=1000000, runMaxSteps=false, stepsPerRegion=800, maxRunningTime=30000, isByTable=false, CostFunctions=[RegionCountSkewCostFunction, PrimaryRegionCountSkewCostFunction, MoveCostFunction, ServerLocalityCostFunction, RackLocalityCostFunction, TableSkewCostFunction, RegionReplicaHostCostFunction, RegionReplicaRackCostFunction, ReadRequestCostFunction, WriteRequestCostFunction, MemStoreSizeCostFunction, StoreFileCostFunction] , sum of multiplier of cost functions = 0.0 etc.
2025-06-17T08:49:21,622 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.TimeoutExecutorThread: ADDED pid=-1, state=WAITING_TIMEOUT; org.apache.hadoop.hbase.procedure2.CompletedProcedureCleaner; timeout=30000, timestamp=1750150191621
2025-06-17T08:49:21,630 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.DirScanPool: log_cleaner Cleaner pool size is 1
2025-06-17T08:49:21,630 INFO  [PEWorker-1] procedure.InitMetaProcedure: BOOTSTRAP: creating hbase:meta region
2025-06-17T08:49:21,631 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.cleaner.TimeToLiveLogCleaner
2025-06-17T08:49:21,637 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.replication.master.ReplicationLogCleaner
2025-06-17T08:49:21,638 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.cleaner.TimeToLiveMasterLocalStoreWALCleaner
2025-06-17T08:49:21,639 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.cleaner.TimeToLiveProcedureWALCleaner
2025-06-17T08:49:21,639 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.LogCleaner: Creating 2 old WALs cleaner threads
2025-06-17T08:49:21,643 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=LogsCleaner, period=600000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:21,653 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.DirScanPool: hfile_cleaner Cleaner pool size is 2
2025-06-17T08:49:21,660 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.cleaner.TimeToLiveMasterLocalStoreHFileCleaner
2025-06-17T08:49:21,662 INFO  [PEWorker-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:21,663 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.cleaner.HFileLinkCleaner
2025-06-17T08:49:21,664 INFO  [PEWorker-1] util.FSTableDescriptors: .coprocessor.MultiRowMutationEndpoint|536870911|', METADATA => {'hbase.store.file-tracker.impl' => 'DEFAULT'}}}, {NAME => 'info', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '3', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}, {NAME => 'rep_barrier', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '2147483647', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '65536 B (64KB)', REPLICATION_SCOPE => '0'}, {NAME => 'table', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '3', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}
2025-06-17T08:49:21,675 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.snapshot.SnapshotHFileCleaner
2025-06-17T08:49:21,677 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] cleaner.CleanerChore: Initialize cleaner=org.apache.hadoop.hbase.master.cleaner.TimeToLiveHFileCleaner
2025-06-17T08:49:21,681 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=HFileCleaner, period=600000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:21,683 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: Reopening regions with very high storeFileRefCount is disabled. Provide threshold value > 0 for hbase.regions.recovery.store.file.ref.count to enable it.
2025-06-17T08:49:21,690 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=ReplicationBarrierCleaner, period=43200000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:21,691 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] hbase.ChoreService: Chore ScheduledChore name=SnapshotCleaner, period=1800000, unit=MILLISECONDS is enabled.
2025-06-17T08:49:22,124 INFO  [PEWorker-1] util.FSTableDescriptors: Updated hbase:meta table descriptor to hdfs://atlas-hadoop:9000/hbase/data/hbase/meta/.tabledesc/.tableinfo.0000000001.949
2025-06-17T08:49:22,126 INFO  [PEWorker-1] regionserver.HRegion: 70911|', METADATA => {'hbase.store.file-tracker.impl' => 'DEFAULT'}}}, {NAME => 'info', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '3', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}, {NAME => 'rep_barrier', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '2147483647', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '65536 B (64KB)', REPLICATION_SCOPE => '0'}, {NAME => 'table', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '3', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}, regionDir=hdfs://atlas-hadoop:9000/hbase
2025-06-17T08:49:22,584 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family info of region 1588230740 
2025-06-17T08:49:22,593 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1588230740 columnFamilyName info
2025-06-17T08:49:22,594 INFO  [StoreOpener-1588230740-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:22,596 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=1588230740/info,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
2025-06-17T08:49:22,598 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family rep_barrier of region 1588230740 
2025-06-17T08:49:22,640 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1588230740 columnFamilyName rep_barrier
2025-06-17T08:49:22,641 INFO  [StoreOpener-1588230740-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:22,645 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=1588230740/rep_barrier,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
2025-06-17T08:49:22,645 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family table of region 1588230740 
2025-06-17T08:49:22,659 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1588230740 columnFamilyName table
2025-06-17T08:49:22,660 INFO  [StoreOpener-1588230740-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:22,664 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=1588230740/table,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
2025-06-17T08:49:22,717 INFO  [PEWorker-1] regionserver.HRegion: Opened 1588230740; next sequenceid=2; SteppingSplitPolicysuper{IncreasingToUpperBoundRegionSplitPolicy{initialSize=268435456, ConstantSizeRegionSplitPolicy{desiredMaxFileSize=11781708800, jitterRate=0.09725713729858398}}}, FlushLargeStoresPolicy{flushSizeLowerBound=44739242}
2025-06-17T08:49:22,717 INFO  [PEWorker-1] regionserver.HRegion: Closing region hbase:meta,,1.1588230740
2025-06-17T08:49:22,720 INFO  [PEWorker-1] regionserver.HRegion: Closed hbase:meta,,1.1588230740
2025-06-17T08:49:22,730 INFO  [PEWorker-1] procedure.InitMetaProcedure: Going to assign meta
2025-06-17T08:49:22,742 INFO  [PEWorker-1] procedure2.ProcedureExecutor: Initialized subprocedures=[{pid=2, ppid=1, state=RUNNABLE:REGION_STATE_TRANSITION_GET_ASSIGN_CANDIDATE; TransitRegionStateProcedure table=hbase:meta, region=1588230740, ASSIGN}]
2025-06-17T08:49:22,759 INFO  [PEWorker-2] procedure.MasterProcedureScheduler: Took xlock for pid=2, ppid=1, state=RUNNABLE:REGION_STATE_TRANSITION_GET_ASSIGN_CANDIDATE; TransitRegionStateProcedure table=hbase:meta, region=1588230740, ASSIGN
2025-06-17T08:49:22,773 INFO  [PEWorker-2] assignment.TransitRegionStateProcedure: Starting pid=2, ppid=1, state=RUNNABLE:REGION_STATE_TRANSITION_GET_ASSIGN_CANDIDATE, locked=true; TransitRegionStateProcedure table=hbase:meta, region=1588230740, ASSIGN; state=OFFLINE, location=null; forceNewPlan=false, retain=false
2025-06-17T08:49:22,927 WARN  [4fdf0e11b739:16000] assignment.AssignmentManager: No servers available; cannot place 1 unassigned regions.
2025-06-17T08:49:23,633 INFO  [HBase-Metrics2-1] impl.GlobalMetricRegistriesAdapter: Registering Master,sub=Coprocessor.Master.CP_org.apache.atlas.hbase.hook.HBaseAtlasCoprocessor Metrics about HBase MasterObservers
2025-06-17T08:49:23,932 WARN  [4fdf0e11b739:16000] assignment.AssignmentManager: No servers available; cannot place 1 unassigned regions.
2025-06-17T08:49:24,603 INFO  [RpcServer.default.FPBQ.Fifo.handler=29,queue=2,port=16000] master.ServerManager: Registering regionserver=4fdf0e11b739,16020,1750150154692
2025-06-17T08:49:24,652 INFO  [RegionServerTracker-0] master.RegionServerTracker: RegionServer ephemeral node created, adding [4fdf0e11b739,16020,1750150154692]
2025-06-17T08:49:24,936 WARN  [4fdf0e11b739:16000] assignment.AssignmentManager: No servers available; cannot place 1 unassigned regions.
2025-06-17T08:49:25,943 WARN  [4fdf0e11b739:16000] assignment.AssignmentManager: No servers available; cannot place 1 unassigned regions.
2025-06-17T08:49:26,954 WARN  [4fdf0e11b739:16000] assignment.AssignmentManager: No servers available; cannot place 1 unassigned regions.
2025-06-17T08:49:27,966 WARN  [4fdf0e11b739:16000] assignment.AssignmentManager: No servers available; cannot place 1 unassigned regions.
2025-06-17T08:49:28,485 INFO  [PEWorker-3] assignment.RegionStateStore: pid=2 updating hbase:meta row=1588230740, regionState=OPENING, regionLocation=4fdf0e11b739,16020,1750150154692
2025-06-17T08:49:28,498 INFO  [PEWorker-3] zookeeper.MetaTableLocator: Setting hbase:meta replicaId=0 location in ZooKeeper as 4fdf0e11b739,16020,1750150154692, state=OPENING
2025-06-17T08:49:28,517 INFO  [PEWorker-3] procedure2.ProcedureExecutor: Initialized subprocedures=[{pid=3, ppid=2, state=RUNNABLE; OpenRegionProcedure 1588230740, server=4fdf0e11b739,16020,1750150154692}]
2025-06-17T08:49:29,456 INFO  [PEWorker-5] assignment.RegionStateStore: pid=2 updating hbase:meta row=1588230740, regionState=OPEN, openSeqNum=2, regionLocation=4fdf0e11b739,16020,1750150154692
2025-06-17T08:49:29,460 INFO  [PEWorker-5] zookeeper.MetaTableLocator: Setting hbase:meta replicaId=0 location in ZooKeeper as 4fdf0e11b739,16020,1750150154692, state=OPEN
2025-06-17T08:49:29,477 INFO  [PEWorker-5] procedure2.ProcedureExecutor: Finished subprocedure pid=3, resume processing ppid=2
2025-06-17T08:49:29,481 INFO  [PEWorker-5] procedure2.ProcedureExecutor: Finished pid=3, ppid=2, state=SUCCESS; OpenRegionProcedure 1588230740, server=4fdf0e11b739,16020,1750150154692 in 949 msec
2025-06-17T08:49:29,492 INFO  [PEWorker-6] procedure2.ProcedureExecutor: Finished subprocedure pid=2, resume processing ppid=1
2025-06-17T08:49:29,494 INFO  [PEWorker-6] procedure2.ProcedureExecutor: Finished pid=2, ppid=1, state=SUCCESS; TransitRegionStateProcedure table=hbase:meta, region=1588230740, ASSIGN in 6.7380 sec
2025-06-17T08:49:29,505 INFO  [PEWorker-7] procedure2.ProcedureExecutor: Finished pid=1, state=SUCCESS; InitMetaProcedure table=hbase:meta in 8.0190 sec
2025-06-17T08:49:29,505 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: Master startup: status=Wait for region servers to report in, state=RUNNING, startTime=1750150158384, completionTime=-1
2025-06-17T08:49:29,506 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.ServerManager: Waiting on regionserver count=1; waited=0ms, expecting min=1 server(s), max=NO_LIMIT server(s), timeout=4500ms, lastChange=0ms
2025-06-17T08:49:31,039 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.ServerManager: Waiting on regionserver count=1; waited=1533ms, expecting min=1 server(s), max=NO_LIMIT server(s), timeout=4500ms, lastChange=1533ms
2025-06-17T08:49:32,569 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.ServerManager: Waiting on regionserver count=1; waited=3063ms, expecting min=1 server(s), max=NO_LIMIT server(s), timeout=4500ms, lastChange=3063ms
2025-06-17T08:49:34,049 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.ServerManager: Finished waiting on RegionServer count=1; waited=4542ms, expected min=1 server(s), max=NO_LIMIT server(s), master is running
2025-06-17T08:49:34,204 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] assignment.AssignmentManager: Number of RegionServers=1
2025-06-17T08:49:34,204 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.TimeoutExecutorThread: ADDED pid=-1, state=WAITING_TIMEOUT; org.apache.hadoop.hbase.master.assignment.AssignmentManager$RegionInTransitionChore; timeout=60000, timestamp=1750150234204
2025-06-17T08:49:34,205 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] procedure2.TimeoutExecutorThread: ADDED pid=-1, state=WAITING_TIMEOUT; org.apache.hadoop.hbase.master.assignment.AssignmentManager$DeadServerMetricRegionChore; timeout=120000, timestamp=1750150294205
